year,wheel,motor_volume,price,running_miles,model_enc,motor_type_enc,wheel_enc,color_enc,type_enc,status_enc
2012,left,2.0,9500,111846.78,0,3,0,1,5,2
2021,left,2.0,24000,19883.872,0,3,0,16,5,1
1999,left,2.0,4700,136701.62,2,4,0,2,5,1
2019,left,2.0,16900,24854.84,1,3,0,7,5,1
2018,left,2.0,15000,33554.034,0,3,0,14,5,1
2018,left,2.0,12500,76620.0,2,3,0,16,5,0
2000,left,2.0,5300,129866.539,2,3,0,2,5,4
2017,left,2.0,13800,75000.0,1,1,0,3,5,2
2019,left,2.0,16800,30500.0,1,3,0,2,5,1
2016,left,2.0,13500,52195.164,1,3,0,1,5,1
2021,left,2.0,25500,44738.712,0,3,0,16,5,1
2017,left,2.0,18000,53437.906,3,3,0,1,6,1
2012,left,2.0,10500,120.0,0,3,0,4,5,1
2020,left,2.0,13800,37282.26,1,3,0,16,5,0
2019,left,2.0,14600,15720.6863,1,3,0,2,5,1
2018,left,2.0,15200,42000.0,0,1,0,16,5,1
2019,left,2.0,19800,31068.55,4,3,0,1,5,1
2019,left,2.0,18500,26000.0,1,3,0,2,5,1
2000,left,2.0,4750,136701.62,2,3,0,2,5,4
2016,left,2.0,11500,111000.0,0,3,0,10,5,2
1996,left,2.0,4500,136701.62,2,3,0,2,5,2
2013,left,2.0,8600,86000.0,0,3,0,16,5,2
2017,left,2.0,18000,54000.0,3,3,0,16,6,1
2018,left,2.0,20000,31068.55,3,3,0,7,6,1
2003,left,2.0,5000,173983.88,2,3,0,14,5,4
2015,left,2.0,13500,110000.0,4,3,0,1,5,1
2019,left,2.0,18500,70000.0,3,3,0,7,6,2
2022,left,2.0,24800,6835.081,0,3,0,1,5,1
2011,left,2.0,11000,86991.94,4,1,0,7,5,1
2015,left,2.0,11600,80000.0,0,3,0,2,5,1
2000,left,2.0,5600,124274.2,2,1,0,14,5,2
2009,left,2.0,10250,130000.0,4,1,0,14,5,2
2017,left,2.0,14200,75000.0,0,3,0,16,5,1
1998,left,2.0,7000,167770.17,2,3,0,1,5,1
2014,left,2.0,9300,160000.0,1,3,0,16,5,1
2018,left,2.0,12400,52000.0,1,3,0,2,5,2
2017,left,2.0,12600,41259.0344,1,3,0,16,5,1
2008,left,2.0,10500,74564.52,2,3,0,16,5,1
2020,left,2.0,19800,42000.0,1,3,0,10,5,1
2019,left,2.0,15750,28000.0,0,3,0,16,5,1
2019,left,2.0,16500,13000.0,0,3,0,1,5,1
2021,left,2.0,18400,33000.0,1,3,0,2,5,1
2015,left,2.0,16000,85127.827,4,3,0,1,5,1
2020,left,2.0,21500,46602.825,4,3,0,14,5,1
2019,left,2.0,17500,68000.0,0,3,0,1,5,1
2013,left,2.0,9600,150000.0,1,3,0,16,5,2
2017,left,2.0,26000,34796.776,2,3,0,7,5,1
2017,left,2.0,16500,78914.117,3,3,0,14,6,1
2012,left,2.0,12500,80778.23,2,3,0,2,5,1
2012,left,2.0,8500,64622.584,3,3,0,2,6,2
2018,left,2.0,16500,22000.0,0,3,0,14,5,1
2013,left,2.0,10800,113000.0,0,3,0,1,5,1
2017,left,2.0,13400,43495.97,1,3,0,2,5,1
2020,left,2.0,23700,17398.388,4,3,0,16,5,1
2017,left,2.0,18500,52816.535,3,3,0,1,6,1
2011,left,2.0,9200,115000.0,0,1,0,1,5,2
2011,left,2.0,8500,127000.0,1,3,0,14,5,1
2018,left,2.0,18000,59030.245,3,3,0,7,6,1
2013,left,2.0,8500,120000.0,1,3,0,1,5,1
2016,left,2.0,13000,81000.0,0,3,0,16,5,1
2019,left,2.0,17000,19000.0,0,3,0,1,5,1
2011,left,2.0,7000,150000.0,0,3,0,1,5,2
2019,left,2.0,15300,56000.0,0,3,0,14,5,1
2014,left,2.0,15000,71457.665,2,3,0,16,5,2
2016,left,2.0,23000,85127.827,2,3,0,1,5,2
2011,left,2.0,12700,107000.0,0,3,0,1,5,1
2019,left,2.0,14600,50000.0,1,3,0,16,5,1
2001,left,2.0,4000,155342.75,2,1,0,1,5,4
2023,left,2.0,21800,2050.5243,1,3,0,7,5,3
2018,left,2.0,17000,100000.0,3,3,0,7,6,1
2019,left,2.0,15500,75000.0,0,3,0,1,5,1
2012,left,2.0,15750,104182.79008600001,4,3,0,16,5,1
2018,left,2.0,20500,34796.776,4,3,0,1,5,1
2002,left,2.0,6600,124274.2,2,1,0,14,5,2
2018,left,2.0,12650,45360.083,0,3,0,1,5,1
2000,left,2.0,7750,96312.505,2,3,0,14,5,1
2018,left,2.0,16300,22000.0,3,3,0,13,6,1
2019,left,2.0,15000,43000.0,0,3,0,16,5,1
2018,left,2.0,18500,55450.0,3,3,0,14,6,2
2017,left,2.0,27200,70000.0,2,3,0,7,5,1
2016,left,2.0,11800,102500.0,1,4,0,4,5,2
2007,left,2.0,8200,164663.315,4,3,0,16,5,2
2015,left,2.0,13700,27961.695,4,3,0,7,5,1
2015,left,2.0,14900,100000.0,4,3,0,1,5,1
2019,left,2.0,15800,22300.0,1,3,0,7,5,1
2017,left,2.0,11950,110000.0,1,3,0,16,5,1
2017,left,2.0,18300,35000.0,3,3,0,16,6,1
2021,left,2.0,27000,18700.0,0,3,0,16,5,1
2020,left,2.0,17500,82000.0,1,3,0,7,5,1
2011,left,2.0,9000,147000.0,0,1,0,16,5,4
2001,left,2.0,4990,137944.362,2,1,0,14,5,1
2021,left,2.0,15750,68350.81,4,3,0,1,5,1
2022,left,2.0,15750,31.068550000000002,2,0,0,7,4,1
2006,left,2.0,8300,99419.36,2,3,0,1,5,1
2017,left,2.0,15600,39954.1553,0,3,0,16,5,1
2021,left,2.0,23000,12396.35145,0,3,0,7,5,1
2019,left,2.0,20000,24000.0,1,3,0,2,5,1
2018,left,2.0,11600,13600.0,1,3,0,2,5,1
2019,left,2.0,15500,45000.0,1,3,0,7,5,1
2018,left,2.0,21300,59030.245,4,3,0,1,5,1
2016,left,2.0,15000,99419.36,4,3,0,16,5,1
2017,left,2.0,21000,6213.71,2,3,0,16,5,0
2020,left,2.0,15800,54680.648,1,3,0,1,5,1
2011,left,2.0,13300,108739.925,2,1,0,16,5,1
2018,left,2.0,17500,40000.0,3,3,0,1,6,1
2009,left,2.0,11300,123031.458,2,4,0,14,5,1
2012,left,2.0,15500,142293.959,2,3,0,1,5,1
2017,left,2.0,17300,65000.0,3,3,0,1,6,1
2008,left,2.0,10000,111846.78,4,3,0,1,5,2
2018,left,2.0,19000,39000.0,3,3,0,16,6,1
2005,left,2.0,7000,155342.75,2,3,0,1,5,2
2018,left,2.0,18600,65000.0,3,3,0,1,6,1
2019,left,2.0,14300,40000.0,0,3,0,14,5,2
2019,left,2.0,16300,57000.0,1,3,0,16,5,1
2017,left,2.0,18750,70000.0,3,3,0,1,6,2
2014,left,2.0,14500,130487.91,4,3,0,16,5,1
2013,left,2.0,15500,99419.36,2,3,0,7,5,2
2017,left,2.0,21000,39500.0,3,3,0,1,6,1
1997,left,2.0,4800,114953.635,2,3,0,7,5,1
2019,left,2.0,14000,29000.0,0,3,0,7,5,1
2018,left,2.0,17200,60000.0,1,3,0,1,5,1
2019,left,2.0,16000,90000.0,0,3,0,1,5,1
2019,left,2.0,15000,22990.727,0,3,0,1,5,2
2018,left,2.0,16000,50952.422,3,3,0,7,6,1
2015,left,2.0,14800,33400.0,3,3,0,14,5,1
2018,left,2.0,13700,49709.68,3,3,0,16,6,1
1996,left,2.0,5200,170255.654,2,1,0,16,5,1
2017,left,2.0,16300,79650.0,0,3,0,16,5,1
2019,left,2.0,16500,68300.0,1,3,0,16,5,1
2018,left,2.0,14500,55923.39,1,3,0,16,5,1
2019,left,2.0,14900,41300.0,1,3,0,1,5,1
2016,left,2.0,16500,70000.0,3,3,0,7,6,1
1999,left,2.0,6500,186.4113,2,1,0,2,5,2
2019,left,2.0,17500,55302.019,0,3,0,1,5,1
2020,left,2.0,16200,38000.0,0,3,0,1,5,1
2017,left,2.0,27500,81500.0,2,3,0,1,5,1
2020,left,2.0,25000,42000.0,4,3,0,1,5,1
2007,left,2.0,12000,173983.88,2,4,0,1,5,2
2019,left,2.0,16500,39767.744,1,3,0,13,5,1
2020,left,2.0,16800,41000.0,1,3,0,1,5,1
2021,left,2.0,21500,621.371,3,3,0,1,6,1
2009,left,2.0,10200,125516.942,2,3,0,7,5,2
2018,left,2.0,15750,24854.84,1,3,0,1,5,2
2018,left,2.0,18700,23612.098,3,3,0,13,6,1
2019,left,2.0,16800,22369.356,3,3,0,1,6,1
2012,left,2.0,12990,101283.473,2,3,0,1,5,1
2017,left,2.0,17000,67000.0,3,3,0,16,6,1
2019,left,2.0,16200,38525.002,0,3,0,16,5,1
2018,left,2.0,15125,50005.0,1,3,0,16,5,1
2015,left,2.0,14300,62000.0,4,3,0,1,5,1
2020,left,2.0,12500,63000.0,0,3,0,16,5,0
2017,left,2.0,13500,82000.0,1,3,0,16,5,1
2017,left,2.0,17500,48318.430331,3,3,0,13,6,1
2021,left,2.0,27000,7900.0,0,3,0,2,5,1
2017,left,2.0,15200,40389.115,0,3,0,16,5,1
2019,left,2.0,16500,63000.0,1,3,0,7,5,1
2020,left,2.0,27500,5405.9277,4,3,0,2,5,1
2014,left,2.0,15800,93205.65,2,3,0,16,5,2
2019,left,2.0,18700,70000.0,0,3,0,16,5,1
2003,left,2.0,6300,155342.75,2,1,0,14,5,2
2016,left,2.0,16000,68350.81,4,3,0,1,5,1
2018,left,2.0,19500,40389.115,3,3,0,16,6,1
2017,left,2.0,14000,75000.0,0,3,0,13,5,2
2018,left,2.0,17000,39000.0,3,3,0,14,6,4
2018,left,2.0,17300,37000.0,1,3,0,14,5,1
2020,left,2.0,22900,42253.228,4,3,0,14,5,1
2021,left,2.0,15800,55063.412536,1,3,0,16,5,4
2022,left,2.0,25300,5405.9277,1,3,0,1,5,1
2019,left,2.0,17900,47845.567,3,3,0,14,6,1
2010,left,2.0,12000,99419.36,3,3,0,1,2,1
2019,left,2.0,16500,65000.0,0,3,0,7,5,1
1995,left,2.0,4600,21747.985,2,1,0,16,5,4
2018,left,2.0,21000,59727.423262000004,3,3,0,14,6,1
2018,left,2.0,20000,43495.97,3,3,0,1,6,1
2018,left,2.0,17300,101.0,1,3,0,7,5,1
2019,left,2.0,18000,62137.1,1,3,0,1,5,1
2014,left,2.0,18300,108118.554,2,3,0,1,5,1
2017,left,2.0,18300,44738.712,3,3,0,7,6,1
1996,left,2.0,15750,111846.78,2,1,0,1,5,4
2017,left,2.0,15500,65243.955,3,3,0,16,6,1
2018,left,2.0,18000,75000.0,3,3,0,1,6,1
2018,left,2.0,15350,55000.0,0,3,0,14,5,1
2017,left,2.0,11000,120000.0,0,3,0,1,5,2
2017,left,2.0,15750,44738.712,4,3,0,16,5,1
2014,left,2.0,13900,101283.473,2,3,0,7,5,2
2019,left,2.0,23400,26000.0,3,3,0,7,1,1
2018,left,2.0,14200,65000.0,1,3,0,1,5,1
2021,left,2.0,20500,10600.0,1,3,0,2,5,1
2018,left,2.0,12200,112000.0,1,3,0,2,5,1
2017,left,2.0,13800,103000.0,0,3,0,13,5,1
2019,left,2.0,21000,6213.71,3,3,0,7,6,1
2020,left,2.0,23000,1400.0,1,3,0,1,5,1
2016,left,2.0,26000,37282.26,2,3,0,16,5,1
2017,left,2.0,15700,35000.0,0,3,0,7,5,1
2018,left,2.0,12900,66000.0,1,3,0,1,5,1
2012,left,2.0,6200,118060.49,1,1,0,1,5,2
2014,left,2.0,14400,71457.665,4,3,0,16,5,1
2017,left,2.0,11000,81200.0,1,3,0,2,5,1
2018,left,2.0,15750,78000.0,1,3,0,14,5,1
2014,left,2.0,14400,55000.0,4,1,0,0,5,2
2007,left,2.0,8500,118060.49,2,3,0,13,5,1
2018,left,2.0,14600,51573.793,0,3,0,7,5,1
2016,left,2.0,20000,99419.36,0,3,0,1,5,1
2011,left,2.0,9800,73000.0,0,3,0,1,5,2
2020,left,2.0,17200,38000.0,3,3,0,1,1,0
2019,left,2.0,15750,76000.0,0,3,0,16,5,1
2020,left,2.0,19000,60000.0,1,3,0,14,5,1
2014,left,2.0,11000,45000.0,0,3,0,16,0,1
2019,left,2.0,22000,24200.0,3,3,0,16,6,1
2021,left,2.0,17300,52207.59142,0,3,0,16,5,0
2012,left,2.0,10500,123000.0,0,1,0,1,5,2
2019,left,2.0,21500,10563.307,3,3,0,1,6,1
2020,left,2.0,21000,26097.582,4,3,0,16,5,1
2018,left,2.0,12500,90000.0,0,3,0,1,5,1
2017,left,2.0,13900,40000.0,0,1,0,1,5,1
2017,left,2.0,27000,48466.938,2,3,0,1,5,1
2017,left,2.0,19900,19883.872,4,3,0,1,5,1
2013,left,2.0,9500,138000.0,0,4,0,16,5,1
2018,left,2.0,15500,70000.0,4,3,0,10,5,2
2017,left,2.0,18000,66000.0,3,3,0,16,6,2
2018,left,2.0,15500,117000.0,3,3,0,14,6,1
2019,left,2.0,20300,41321.171500000004,1,3,0,16,5,1
2020,left,2.0,26000,15600.0,4,3,0,1,5,1
2017,left,2.0,16000,16901.2912,3,3,0,16,6,2
2019,left,2.0,16600,58000.0,0,3,0,16,5,2
2018,left,2.0,13900,85000.0,1,3,0,16,5,1
2016,left,2.0,11300,69000.0,1,3,0,16,5,1
2018,left,2.0,18500,42000.0,3,3,0,14,6,1
2018,left,2.0,11800,129000.0,0,3,0,1,5,1
2018,left,2.0,18000,65000.0,3,3,0,7,6,1
2019,left,2.0,16200,47845.567,3,3,0,16,6,1
2014,left,2.0,11700,65000.0,0,1,0,16,5,1
2018,left,2.0,13800,20000.0,1,3,0,1,5,1
2014,left,2.0,10500,133000.0,0,3,0,1,5,2
2019,left,2.0,13000,83885.085,1,3,0,16,5,0
2016,left,2.0,27000,86991.94,2,3,0,16,5,2
2019,left,2.0,16500,66000.0,1,3,0,7,5,1
2019,left,2.0,18000,42000.0,1,3,0,7,5,1
2019,left,2.0,13600,42000.0,0,3,0,1,5,1
2019,left,2.0,21700,77000.0,3,3,0,1,6,1
2017,left,2.0,27000,70000.0,2,3,0,16,5,1
2018,left,2.0,17500,46602.825,3,3,0,14,6,1
2018,left,2.0,15000,25000.0,3,3,0,16,6,1
2017,left,2.0,14800,130000.0,0,3,0,2,5,1
2018,left,2.0,15200,53000.0,0,3,0,1,5,1
2019,left,2.0,16200,36039.518000000004,1,3,0,7,5,1
2015,left,2.0,27500,64001.213,2,3,0,7,5,1
2020,left,2.0,20000,33000.0,3,3,0,7,6,1
2016,left,2.0,12700,110000.0,0,3,0,16,5,2
2000,left,2.0,6000,124274.2,2,3,0,2,5,4
2018,left,2.0,16200,99000.0,1,3,0,2,5,1
2016,left,2.0,14900,39146.373,3,3,0,1,2,1
2019,left,2.0,15900,22990.727,1,3,0,16,5,1
2017,left,2.0,15400,80000.0,4,3,0,1,5,1
2005,left,2.0,8000,100.04073100000001,2,1,0,2,5,1
2020,left,2.0,17500,53000.0,3,3,0,1,6,2
2012,left,2.0,9100,97000.0,1,3,0,1,5,1
2019,left,2.0,16300,60000.0,1,3,0,2,5,2
2015,left,2.0,11200,58000.0,0,4,0,14,5,2
2018,left,2.0,13400,46602.825,1,3,0,1,5,2
2013,left,2.0,16700,115000.0,2,3,0,1,5,1
2020,left,2.0,19700,36660.889,4,3,0,1,5,1
2016,left,2.0,26500,99419.36,2,3,0,1,5,2
2017,left,2.0,18500,60894.358,0,3,0,16,5,1
2020,left,2.0,19799,39000.0,1,3,0,14,5,1
2019,left,2.0,20500,113000.0,4,3,0,1,5,1
2016,left,2.0,15750,75000.0,2,3,0,14,5,1
2011,left,2.0,12500,152235.895,2,3,0,1,5,1
2018,left,2.0,18000,77671.375,3,3,0,14,6,2
2012,left,2.0,9700,49.70968,0,3,0,1,5,1
2017,left,2.0,17500,89477.424,0,3,0,1,5,1
2017,left,2.0,15500,39767.744,3,3,0,7,6,1
2020,left,2.0,18500,11800.0,1,3,0,7,5,1
2018,left,2.0,16700,76000.0,0,3,0,16,5,1
